,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Close_Smoothed,DailyR,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Price_Diff,Max_Profit_Pct
0,2024-09-05 04:00:00+00:00,220.60329739500975,224.43545304440556,220.4938063657069,221.34982299804688,36615400,0.0,0.0,0.6927738629377345,220.97158813476562,,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
1,2024-09-06 04:00:00+00:00,222.9125635200513,224.1965961864048,218.75193438162452,219.7970733642578,48423000,0.0,0.0,-0.7014912470938661,220.3246053059896,-0.7014912470938661,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
2,2024-09-09 04:00:00+00:00,219.79704777183977,220.244960087071,215.7060869416041,219.8866271972656,67180000,0.0,0.0,0.04074386962349408,220.3445078531901,0.04074386962349408,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
3,2024-09-10 04:00:00+00:00,217.905872677406,220.45401129755567,215.7260152082313,219.09036254882807,51591000,0.0,0.0,-0.36212509081926525,219.59135437011716,-0.36212509081926525,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
4,2024-09-11 04:00:00+00:00,220.4340868524661,222.056525502596,216.88061769002928,221.62852478027344,44587100,0.0,0.0,1.158500174045618,220.2018381754557,1.158500174045618,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
5,2024-09-12 04:00:00+00:00,221.46926837337423,222.5144072842174,218.8016907682,221.73802185058597,37455600,0.0,0.0,0.04940567574551746,220.8189697265625,0.04940567574551746,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
6,2024-09-13 04:00:00+00:00,222.54428285449177,223.00214343080088,220.8820208371711,221.4692840576172,36766600,0.0,0.0,-0.12119608117991953,221.61194356282553,-0.12119608117991953,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
7,2024-09-16 04:00:00+00:00,215.53686848493908,216.213726272445,212.9290105348456,215.31790161132807,59357400,0.0,0.0,-2.7775329985212704,219.5084025065104,-2.7775329985212704,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
8,2024-09-17 04:00:00+00:00,214.75053008791312,215.89519659483264,213.50632075947797,215.78570556640625,45519300,0.0,0.0,0.21726198870477553,217.52429707845053,0.21726198870477553,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
9,2024-09-18 04:00:00+00:00,216.54221012404864,221.67831024616868,216.5322467283196,219.66766357421875,59894900,0.0,0.0,1.7989875638995345,216.92375691731772,1.7989875638995345,2025-04-08 04:00:00+00:00,2025-09-04 04:00:00+00:00,171.99899291992188,239.77999877929688,67.781005859375,39.40779228337228
