Source,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Close_Smoothed
GOOGL_2022,2024-08-21 04:00:00+00:00,164.35383848738525,166.04565527229005,163.87615672417527,165.05047607421875,22902000,0.0,0.0,-0.7955525436761479,165.7636922200521
GOOGL_2022,2024-08-22 04:00:00+00:00,166.45365676465755,166.78206770165446,162.52270221582623,163.01034545898438,22493300,0.0,0.0,-1.2360646656462748,164.81163024902344
GOOGL_2022,2024-08-23 04:00:00+00:00,163.92592374785485,165.37887691786474,163.0402148418206,164.8215789794922,13955700,0.0,0.0,1.1111156874172412,164.29413350423178
GOOGL_2022,2024-08-26 04:00:00+00:00,165.57793418764655,166.74229212809584,163.6671917839428,165.35899353027344,14190400,0.0,0.0,0.3260583681510054,164.39697265625
GOOGL_2022,2024-08-27 04:00:00+00:00,165.0405199503333,165.63763356275666,163.66718293812755,163.8861083984375,11821900,0.0,0.0,-0.8907197004475509,164.68889363606772
GOOGL_2022,2024-08-28 04:00:00+00:00,164.24438659777263,164.8016997668205,160.751312687273,162.06495666503906,16407400,0.0,0.0,-1.1112300799594799,163.77001953125
GOOGL_2022,2024-08-29 04:00:00+00:00,163.51789374193322,165.1698948767712,159.4774685746095,161.00009155273438,19699800,0.0,0.0,-0.6570606837020154,162.31705220540366
GOOGL_2022,2024-08-30 04:00:00+00:00,161.83606120124992,162.87105623002552,160.910551693726,162.5924072265625,22123800,0.0,0.0,0.9890153840729887,161.8858184814453
GOOGL_2022,2024-09-03 04:00:00+00:00,160.94039211947089,161.06977028333037,155.7256472987168,156.60140991210938,38945300,0.0,0.0,-3.6846722529330855,160.06463623046875
GOOGL_2022,2024-09-04 04:00:00+00:00,155.9047798396124,158.23349556383252,155.2081574244905,155.69578552246094,19353800,0.0,0.0,-0.5782990013670442,158.2965342203776
GOOGL_2022,2024-09-05 04:00:00+00:00,155.54650851343123,158.68131684913237,155.2280438876534,156.4819793701172,18688700,0.0,0.0,0.5049551245193129,156.25972493489584
GOOGL_2022,2024-09-06 04:00:00+00:00,156.5417079408381,157.06915175843542,149.82424762233464,150.1924591064453,37912100,0.0,0.0,-4.019325604768619,154.12340799967447
GOOGL_2022,2024-09-09 04:00:00+00:00,151.97618615473306,152.86307041013015,146.70470865576445,148.1894989013672,39260500,0.2,0.0,-1.3335957191156766,151.6213124593099
GOOGL_2022,2024-09-10 04:00:00+00:00,149.9234070877786,150.7405443053094,147.82079168812507,148.13967895507812,31118800,0.0,0.0,-0.03361908006870307,148.84054565429688
GOOGL_2022,2024-09-11 04:00:00+00:00,149.39525512685503,150.96972670859367,147.00366157798018,150.63092041015625,29607700,0.0,0.0,1.6816841191032772,148.98669942220053
GOOGL_2022,2024-09-12 04:00:00+00:00,153.26167533883327,154.27810941261885,152.11569142274135,154.1485595703125,29621500,0.0,0.0,2.3352703087639703,150.97305297851562
GOOGL_2022,2024-09-13 04:00:00+00:00,154.88596580869884,157.82565255748864,154.66674982863708,156.90887451171875,29591200,0.0,0.0,1.7906848750975035,153.8961181640625
GOOGL_2022,2024-09-16 04:00:00+00:00,156.75938477605305,157.69609704284937,156.05187841649794,157.5067596435547,18379800,0.0,0.0,0.3810397172858915,156.1880645751953
GOOGL_2022,2024-09-17 04:00:00+00:00,158.46340663018495,159.98805014794013,157.82564734959053,158.76235961914062,20715600,0.0,0.0,0.797172120375933,157.7259979248047
GOOGL_2022,2024-09-18 04:00:00+00:00,159.3004536398648,159.9382128836467,158.04486940518223,159.25062561035156,23677300,0.0,0.0,0.3075451841244137,158.50658162434897
GOOGL_2022,2024-09-19 04:00:00+00:00,163.13699125474798,163.21669785914025,160.7752763557002,161.57247924804688,26587700,0.0,0.0,1.457987137442296,159.86182149251303
GOOGL_2022,2024-09-20 04:00:00+00:00,162.9277289392049,163.15691965207134,161.49276669183348,163.0174102783203,40896400,0.0,0.0,0.8942927885974727,161.2801717122396
GOOGL_2022,2024-09-23 04:00:00+00:00,163.77475794889105,164.91076718021387,161.10413041931915,161.28350830078125,24150900,0.0,0.0,-1.0636299365685886,161.95779927571616
GOOGL_2022,2024-09-24 04:00:00+00:00,162.45936971037105,162.6487071151764,160.1275637051896,161.72195434570312,23332100,0.0,0.0,0.27184803303275107,162.00762430826822
GOOGL_2022,2024-09-25 04:00:00+00:00,160.90482465753527,162.24013074634445,160.73542151540698,160.9247589111328,18869200,0.0,0.0,-0.49294199899798663,161.31007385253906
GOOGL_2022,2024-09-26 04:00:00+00:00,163.06723415838286,163.5056965233955,161.71199375988056,162.16041564941406,20319300,0.0,0.0,0.7678475000628238,161.60237630208334
GOOGL_2022,2024-09-27 04:00:00+00:00,162.24013520895764,165.1200191151141,162.06077253778713,163.3761444091797,21101300,0.0,0.0,0.7497074763264111,162.15377298990884
GOOGL_2022,2024-09-30 04:00:00+00:00,162.74835741182983,165.56843851321895,162.6885546502899,165.26950073242188,20413900,0.0,0.0,1.158893992809773,163.60202026367188
GOOGL_2022,2024-10-01 04:00:00+00:00,167.10304911832094,168.56790499887933,164.00393422069206,166.40550231933594,28338100,0.0,0.0,0.6873631141134151,165.01704915364584
GOOGL_2022,2024-10-02 04:00:00+00:00,165.83750220141695,166.93365811188724,164.1534150323221,165.2794647216797,17760200,0.0,0.0,-0.6766829112990203,165.6514892578125
GOOGL_2022,2024-10-03 04:00:00+00:00,163.83454298906406,166.05673338351102,163.3462525916035,165.2794647216797,15073100,0.0,0.0,0.0,165.6548105875651
GOOGL_2022,2024-10-04 04:00:00+00:00,167.47176537085613,167.64116852375787,164.90079388696014,166.4752655029297,19047400,0.0,0.0,0.7235023318012734,165.67806498209634
GOOGL_2022,2024-10-07 04:00:00+00:00,167.13294509267786,167.89027945505126,162.18033994669256,162.40953063964844,22463100,0.0,0.0,-2.442245609879923,164.72142028808594
GOOGL_2022,2024-10-08 04:00:00+00:00,163.3661793794842,164.15340752983812,162.29991729663377,163.8046417236328,23072700,0.0,0.0,0.8590081373240466,164.2298126220703
